"Gene","cancer_subtype.x.1","cancer_subtype.x.2","cancer_subtype.x.3","cancer_subtype.x.4","cancer_subtype.y.1","cancer_subtype.y.2","cancer_subtype.y.3","cancer_subtype.y.4","Ctrl.1","Ctrl.2","Ctrl.3","Ctrl.4"
"YWHAB",2528233.128,51366.19836,224691.8301,291199.4747,224691.8301,224691.8301,34084.42197,157536.9851,71581.50411,25528.64781,1175953.008,224691.8301
"YWHAE",0,0,0,0,0,0,0,0,0,0,0,0
"YWHAG",2896307.047,506891.1163,308817.1314,308817.1314,267178.524,14105.78022,43925.8306,174868.4116,110669.9145,355975.2135,2200262.191,518904.6927
"YWHAZ",69891314.6,12111210.74,849060.4316,1609564.782,2430832.03,1754296.664,1718628.222,1066703.861,5542567.585,2134476.139,2651783.93,2904500.489
"NT5C3B",81006935.87,628197727.8,328833308.1,145812585.9,68459560.66,867280000.7,88401541.59,32796218.87,73276833,110141598,51903294.28,100020440.9
"ACTC1",30763444.63,10724265.59,1725137.946,3158305.95,1725137.946,1725137.946,1725137.946,548763.4348,1200604.501,1998569.678,1741819.642,1638189.736
"ACTA1",30763444.63,10724265.59,1740202.577,3158305.95,1740202.577,1740202.577,1740202.577,548763.4348,1200604.501,1998569.678,1741819.642,1638189.736
"ACTA2",30763444.63,10724265.59,1744497.439,3158305.95,1744497.439,1744497.439,1744497.439,548763.4348,1200604.501,1998569.678,1741819.642,1638189.736
"ACTB",848239758.1,286265236.4,39417694.31,37837695.2,45478247.86,50193932.48,14928010.81,24462120.07,27373992.24,46442728.38,82697444.72,26031920.26
"ACTG1",0,0,0,0,0,0,0,0,0,0,0,0
"ACTG2",30763444.63,10724265.59,1741787.851,3158305.95,1741787.851,1741787.851,1741787.851,548763.4348,1200604.501,1998569.678,1741819.642,1638189.736
"CAP1",703204.7586,352920.3227,994140.7307,680825.1026,543294.4965,535094.8351,541569.2943,934728.639,543294.4965,543294.4965,108035.5327,409812.2328
"ADIPOQ",19137200.13,16774139.45,26861720.81,30198418.96,19772004.12,37265884.67,17238803.29,10016554.73,24576792.21,15879937.52,27082322.82,28658996.54
"BST1",509315.7647,129034.2522,1237777.066,275634.6847,137300.4994,3587871.699,55711.88745,816713.8846,629688.8307,1345400.402,625011.488,699455.488
"AFF2",10656584.45,7965566.368,26282416.5,8298971.972,7693418.019,14421533.77,10375359.46,10786679.97,14431129.7,5651423.527,11489323.79,10430355.39
"AFM",170082374.6,311845569.4,588017497.4,295385768.4,197969449.1,468291989.6,227274633.2,147653501.4,260797844.6,277065502,354205822.8,208590531.2
"ALB",1.27e+11,1.87e+11,1.69e+11,3.3e+11,2.16e+11,2.01e+11,2.94e+11,2.99e+11,2.15e+11,1.91e+11,1.32e+11,2.11e+11
"ORM1",33724123865,14403127207,19686197639,8022212173,25139040432,20160842367,13798812755,13706994936,21604270197,13680994548,11960942021,27075885154
"ORM2",4645821664,2355710271,2573800186,1646919596,4409189924,2658954963,2237200256,2033530414,4511597148,3378224413,3487351633,4937981994
"SERPINA3",2622430777,3063903607,3202195354,652230225.3,1696630715,1850445210,1737814445,1204263964,2940533547,1813083789,1891800571,2713613769
"SERPINA1",47482916345,24921031855,34581209646,32225293524,38139004326,35263309792,18945028628,37783193830,36122598150,42764043726,27133541801,60588107097
"A1BG",3107797506,3035005621,3067155940,2391399889,2687677576,3245151521,1775353343,1890727680,2956949995,3463985297,3658083089,2532725121
"SERPINF2",715553528.4,422681167.2,750590111.2,693506419,382338404.2,492216637.4,393369946.5,527457774.8,549368961.4,646469379.9,555864171.9,558312498.4
"AHSG",3858045185,2471661534,3909254691,3900148142,3507759859,4016497113,2718599171,1780453755,2948721681,3401001028,5183656985,2129605236
"A2M",68067632783,62469165553,1.09e+11,82850272912,75258295119,76383684901,56815757674,57992150295,86689498876,1.2e+11,1.11e+11,65523896254
"ACTN1",14378003.18,4528622.579,786819.3036,533075.8996,429373.9266,316391.3511,506620.5403,428273.6075,297329.0333,300310.4853,2665120.038,1102425.829
"AMY2B",3101590.651,484330.9991,1138803.741,681014.2978,1166360.243,1166360.243,1166360.243,1166360.243,1166360.243,304095.5205,6528025.526,1166360.243
"ANPEP",3582955.599,2291486.442,2636590.934,2238216.404,916447.8311,10911566.5,1524006.535,377749.4031,720671.4305,3597216.86,4947236.785,6165.173365
