From	To
P31946	YWHAB
P62258	YWHAE
P61981	YWHAG
P63104	YWHAZ
Q969T7	NT5C3B
P68032	ACTC1
P68133	ACTA1
P62736	ACTA2
P60709	ACTB
P63261	ACTG1
P63267	ACTG2
Q01518	CAP1
Q15848	ADIPOQ
Q10588	BST1
P51816	AFF2
P43652	AFM
P02768	ALB
P02763	ORM1
P19652	ORM2
P01011	SERPINA3
P01009	SERPINA1
P04217	A1BG
P08697	SERPINF2
P02765	AHSG
P01023	A2M
P12814	ACTN1
P0DTE7	AMY1B
P19961	AMY2B
P15144	ANPEP
P12821	ACE
P01019	AGT
Q9ULJ7	ANKRD50
P04083	ANXA1
P01008	SERPINC1
P02647	APOA1
P02652	APOA2
P06727	APOA4
P04114	APOB
P02654	APOC1
P02655	APOC2
P02656	APOC3
P05090	APOD
P02649	APOE
Q13790	APOF
O14791	APOL1
O95445	APOM
P08519	LPA
P05089	ARG1
P46063	RECQL
O75882	ATRN
P02730	SLC4A1
Q8ND07	BBOF1
P98160	HSPG2
P02749	APOH
P61769	B2M
Q562R1	ACTBL2
Q96KN2	CNDP1
P43251	BTD
P04003	C4BPA
P20851	C4BPB
Q9HBT6	CDH20
P33151	CDH5
Q9ULB5	CDH7
Q05682	CALD1
P0DP23	CALM1
Q9NZT1	CALML5
P27797	CALR
P00915	CA1
P00918	CA2
Q96IY4	CPB2
P15169	CPN1
P22792	CPN2
P49747	COMP
P31944	CASP14
Q6YHK3	CD109
Q13740	ALCAM
P16070	CD44
O43866	CD5L
Q9UPN4	CEP131
P00450	CP
O76074	PDE5A
P11597	CETP
P06276	BCHE
Q14406	CSHL1
P10909	CLU
P00740	F9
P12259	F5
P08709	F7
P00742	F10
P03951	F11
P00748	F12
P00488	F13A1
P05160	F13B
P23528	CFL1
P02452	COL1A1
P02745	C1QA
P02746	C1QB
P02747	C1QC
P00736	C1R
Q9NZP8	C1RL
P09871	C1S
P06681	C2
P01024	C3
P0C0L4	C4A
P0C0L5	C4B
P0C0L5	C4B_2
P01031	C5
P13671	C6
P10643	C7
P07357	C8A
P07358	C8B
P07360	C8G
P02748	C9
P00751	CFB
P08603	CFH
Q03591	CFHR1
P36980	CFHR2
Q02985	CFHR3
Q9BXR6	CFHR5
P05156	CFI
P31146	CORO1A
P08185	SERPINA6
P02741	CRP
P54108	CRISP3
P81605	DCD
Q08554	DSC1
Q02413	DSG1
P15924	DSP
Q9UBP4	DKK3
P27487	DPP4
P09172	DBH
O96015	DNAL4
Q9HCI7	MSL2
Q12805	EFEMP1
P17813	ENG
P11021	HSPA5
Q9UNN8	PROCR
P43004	SLC1A2
Q16610	ECM1
P08294	SOD3
Q8TES7	FBF1
Q01469	FABP5
Q8TB52	FBXO30
Q96P31	FCRL3
P02792	FTL
Q9UGM5	FETUB
P02671	FGA
P02675	FGB
P02679	FGG
Q08830	FGL1
P02751	FN1
P23142	FBLN1
Q15485	FCN2
O75636	FCN3
P20930	FLG
Q5D862	FLG2
P21333	FLNA
O75955	FLOT1
Q9NZ56	FMN2
P24864	CCNE1
Q08380	LGALS3BP
Q92820	GGH
P06396	GSN
P22352	GPX3
P04406	GAPDH
Q8NBJ4	GOLM1
P20718	GZMH
P00738	HP
P00739	HPR
P69905	HBA1
P69905	HBA2
P68871	HBB
P02042	HBD
P69891	HBG1
P02790	HPX
P05546	SERPIND1
Q04756	HGFAC
P26927	MST1
P04196	HRG
P04439	HLA-A
Q86YZ3	HRNR
O75330	HMMR
Q14520	HABP2
Q9Y6R7	FCGBP
P01876	IGHA1
P01880	IGHD
P01854	IGHE
P01859	IGHG2
P01860	IGHG3
P01861	IGHG4
P01871	IGHM
A0A0C4DH31	IGHV1-18
P23083	IGHV1-2
A0A0C4DH33	IGHV1-24
A0A0C4DH29	IGHV1-3
A0A0A0MS14	IGHV1-45
P01743	IGHV1-46
A0A0C4DH39	IGHV1-58
P01742	IGHV1-69
A0A0G2JMI3	IGHV1-69-2
A0A0B4J2H0	IGHV1-69D
P0DP01	IGHV1-8
A0A0B4J1V2	IGHV2-26
P01817	IGHV2-5
P01814	IGHV2-70
A0A0C4DH43	IGHV2-70D
P01762	IGHV3-11
P01766	IGHV3-13
A0A0B4J1V0	IGHV3-15
A0A0C4DH32	IGHV3-20
A0A0B4J1V1	IGHV3-21
P01764	IGHV3-23
P01768	IGHV3-30
P01772	IGHV3-33
A0A0B4J1X8	IGHV3-43
P01763	IGHV3-48
A0A0A0MS15	IGHV3-49
P01767	IGHV3-53
A0A075B6Q5	IGHV3-64
A0A0J9YX35	IGHV3-64D
A0A0C4DH42	IGHV3-66
P01780	IGHV3-7
A0A0B4J1Y9	IGHV3-72
A0A0B4J1V6	IGHV3-73
A0A0B4J1X5	IGHV3-74
P01782	IGHV3-9
A0A0C4DH34	IGHV4-28
A0A087WSY4	IGHV4-30-2
P06331	IGHV4-34
