fromNode	toNode	weight	direction	fromAltName	toAltName
A1BG	A2M	0.0280419566662748	undirected	A1BG	A2M
A1BG	APOA1	0.0252910523582648	undirected	A1BG	APOA1
A1BG	APOC3	0.0218978705842919	undirected	A1BG	APOC3
A1BG	APOD	0.0672624362861925	undirected	A1BG	APOD
A1BG	EFEMP1	0.0319782202510171	undirected	A1BG	EFEMP1
A1BG	GPLD1	0.0279345788149115	undirected	A1BG	GPLD1
A1BG	SERPINA7	0.0408031942957133	undirected	A1BG	SERPINA7
AHSG	APOA1	0.0401774914829707	undirected	AHSG	APOA1
AHSG	APOC1	0.0841184352259735	undirected	AHSG	APOC1
AHSG	APOD	0.0980223777860941	undirected	AHSG	APOD
AHSG	EFEMP1	0.0547215339117299	undirected	AHSG	EFEMP1
AHSG	LGALS3BP	0.0694438080500019	undirected	AHSG	LGALS3BP
AHSG	HLA-A	0.022460743084419	undirected	AHSG	HLA-A
AHSG	THBS1	0.052680142665168	undirected	AHSG	THBS1
A2M	APOA1	0.0494832027150503	undirected	A2M	APOA1
A2M	APOD	0.0208246437884723	undirected	A2M	APOD
A2M	APOF	0.118324481372502	undirected	A2M	APOF
A2M	COMP	0.224602789842685	undirected	A2M	COMP
A2M	F5	0.103349943530949	undirected	A2M	F5
A2M	CRISP3	0.135588054638049	undirected	A2M	CRISP3
A2M	EFEMP1	0.0351417122921735	undirected	A2M	EFEMP1
A2M	LGALS3BP	0.0208146651207486	undirected	A2M	LGALS3BP
A2M	CD14	0.030659928472043	undirected	A2M	CD14
A2M	TNXB	0.0365742629814722	undirected	A2M	TNXB
A2M	THBS1	0.0228417864095038	undirected	A2M	THBS1
A2M	SERPINA7	0.0231900694567829	undirected	A2M	SERPINA7
A2M	GC	0.0798144253214737	undirected	A2M	GC
AMY2B	APOC3	0.0597483853302922	undirected	AMY2B	APOC3
AMY2B	APOD	0.0418669812714197	undirected	AMY2B	APOD
AMY2B	CD44	0.0377578862086613	undirected	AMY2B	CD44
AMY2B	DKK3	0.0206681439275334	undirected	AMY2B	DKK3
AMY2B	DNAL4	0.206571135295475	undirected	AMY2B	DNAL4
