fromNode	toNode	weight	direction	fromAltName	toAltName
NT5C3B	CALML5	0.0243924176572833	undirected	NT5C3B	CALML5
NT5C3B	S100A8	0.041564739086867	undirected	NT5C3B	S100A8
AFF2	AFM	0.0341272427632766	undirected	AFF2	AFM
AFF2	APOE	0.0424364759879909	undirected	AFF2	APOE
AFF2	C4BPB	0.0652632656038999	undirected	AFF2	C4BPB
AFF2	CALML5	0.0547270501861416	undirected	AFF2	CALML5
AFF2	CPB2	0.0535337793610281	undirected	AFF2	CPB2
AFF2	CPN2	0.106632047996804	undirected	AFF2	CPN2
AFF2	F10	0.0673903714277966	undirected	AFF2	F10
AFF2	F11	0.0590965220694975	undirected	AFF2	F11
AFF2	F12	0.0558966327615817	undirected	AFF2	F12
AFF2	C1QA	0.0428186045613408	undirected	AFF2	C1QA
AFF2	C1QC	0.0389466868038877	undirected	AFF2	C1QC
AFF2	C5	0.062512804941833	undirected	AFF2	C5
AFF2	C6	0.0210318366054243	undirected	AFF2	C6
AFF2	C8A	0.0439862997633821	undirected	AFF2	C8A
AFF2	C8B	0.0303334779895104	undirected	AFF2	C8B
AFF2	C8G	0.0546317869065293	undirected	AFF2	C8G
AFF2	CFH	0.107081708858754	undirected	AFF2	CFH
AFF2	CFI	0.0746021253603631	undirected	AFF2	CFI
AFF2	FTL	0.117336364624464	undirected	AFF2	FTL
AFF2	FGA	0.0497213755433538	undirected	AFF2	FGA
AFF2	FGB	0.109696015651295	undirected	AFF2	FGB
AFF2	FGG	0.054152130285145	undirected	AFF2	FGG
AFF2	FLG2	0.0614919778959261	undirected	AFF2	FLG2
AFF2	FMN2	0.0808875701602635	undirected	AFF2	FMN2
AFF2	GPX3	0.0464959454713294	undirected	AFF2	GPX3
AFF2	GZMH	0.0230244660719629	undirected	AFF2	GZMH
AFF2	HPX	0.0422797278700558	undirected	AFF2	HPX
AFF2	MST1	0.0538323482210186	undirected	AFF2	MST1
AFF2	HABP2	0.171712044185799	undirected	AFF2	HABP2
AFF2	IGFALS	0.0264070385090935	undirected	AFF2	IGFALS
AFF2	ITIH2	0.0203145513091103	undirected	AFF2	ITIH2
AFF2	SERPINB1	0.0605598803766738	undirected	AFF2	SERPINB1
AFF2	PPIA	0.19877993855222	undirected	AFF2	PPIA
AFF2	PLTP	0.0905534922243077	undirected	AFF2	PLTP
AFF2	SERPINF1	0.026039662621979	undirected	AFF2	SERPINF1
AFF2	KLKB1	0.0361907583814124	undirected	AFF2	KLKB1
AFF2	PLG	0.0631958224372372	undirected	AFF2	PLG
AFF2	SERPINA10	0.0637306231807855	undirected	AFF2	SERPINA10
AFF2	PRG4	0.0824678798797683	undirected	AFF2	PRG4
AFF2	F2	0.0357164391561949	undirected	AFF2	F2
AFF2	PKM	0.0385848976350306	undirected	AFF2	PKM
AFF2	RBP4	0.0204323023367821	undirected	AFF2	RBP4
AFF2	SPATS2L	0.0645456521126747	undirected	AFF2	SPATS2L
AFF2	PROS1	0.0512582462777407	undirected	AFF2	PROS1
AFM	SERPINC1	0.102101052269484	undirected	AFM	SERPINC1
AFM	APOE	0.0616967844832579	undirected	AFM	APOE
AFM	CNDP1	0.0280858366323446	undirected	AFM	CNDP1
AFM	BTD	0.032946062521641	undirected	AFM	BTD
AFM	C4BPA	0.025586377043657	undirected	AFM	C4BPA
AFM	C4BPB	0.107349000204644	undirected	AFM	C4BPB
AFM	CALML5	0.112328171869689	undirected	AFM	CALML5
AFM	CPB2	0.0810592147616351	undirected	AFM	CPB2
