"","Ctrl","subtype.x","subtype.y"
"YWHAB",-0.0627349660267638,0.343078082777148,-0.280343116750384
"YWHAG",0.124277053668187,0.292494179718727,-0.416771233386914
"YWHAZ",-0.204969235359216,0.469217899186469,-0.264248663827253
"NT5C3B",-0.364411766885506,0.226389602983219,0.138022163902287
"ACTC1",-0.279636177772258,0.57769372149366,-0.298057543721402
"ACTA1",-0.280134966123184,0.577721695512591,-0.297586729389408
"ACTA2",-0.280277176005075,0.577729599753927,-0.297452423748852
"ACTB",-0.25340844005636,0.543587018859845,-0.290178578803486
"ACTG2",-0.280187456748508,0.577724616714232,-0.297537159965724
"CAP1",-0.532813374543567,0.334289117487902,0.198524257055665
"ADIPOQ",0.122335260567683,0.0440760155975033,-0.166411276165186
"BST1",-0.00964201459511509,-0.23061868237328,0.240260696968395
"AFF2",-0.14447992790384,0.244672562259757,-0.100192634355917
"AFM",-0.0987648940282884,0.283399982003355,-0.184635087975067
"ALB",-0.313293507703453,-0.12820934315249,0.441502850855943
"ORM1",2.35892277407612e-05,0.0378393190473972,-0.0378629082751379
"ORM2",0.540021634652907,-0.279392819234402,-0.260628815418505
"SERPINA3",0.20923966135615,0.251675662321575,-0.460915323677726
"SERPINA1",0.361946219043935,-0.103797134076477,-0.258149084967458
"A1BG",0.424353085643714,0.104639010402233,-0.528992096045947
"SERPINF2",0.120067525456848,0.524865343086671,-0.644932868543518
"AHSG",0.0751826053882432,0.167476731875086,-0.242659337263329
"A2M",0.504673435339712,-0.0138939227536557,-0.490779512586056
"ACTN1",-0.200567805682129,0.523721312330844,-0.323153506648715
"AMY2B",0.2996477234904,-0.109532871738618,-0.190114851751781
"ANPEP",-0.124045879580437,-0.0313970362412349,0.155442915821672
"ACE",0.410739656212705,-0.0098851913929584,-0.400854464819747
"AGT",-0.111553567190428,0.457532604669163,-0.345979037478736
"ANXA1",0.0484870122106107,0.378285216647382,-0.426772228857993
"SERPINC1",0.13944556538305,0.336588876230167,-0.476034441613217
"APOA1",0.336602054410187,0.111944960817895,-0.448547015228083
"APOA2",-0.365942231337211,0.463915537836467,-0.097973306499256
"APOA4",0.352994373113956,-0.0423980544911633,-0.310596318622793
"APOB",0.171135567635575,0.389858837194049,-0.560994404829623
"APOC1",0.1423494995079,0.187731852279085,-0.330081351786985
"APOC2",0.0194549068560014,0.242459271650568,-0.261914178506569
"APOC3",0.363776705685099,-0.0939489172559021,-0.269827788429197
"APOD",0.458989072581055,-0.0207046598101069,-0.438284412770948
"APOE",-0.23485696745537,0.318663090893881,-0.0838061234385114
"APOF",0.619183384180889,0.0943302813498784,-0.713513665530767
"APOL1",-0.22652561525571,0.104651518240875,0.121874097014835
"APOM",0.458492693088945,0.0602564485868283,-0.518749141675774
"LPA",0.223547026263386,-0.326015241282075,0.10246821501869
"RECQL",-0.150238744780413,-0.488630034171068,0.638868778951481
"ATRN",0.706853005962551,-0.340079602736345,-0.366773403226206
"SLC4A1",0.400192460406851,-0.248868054910915,-0.151324405495935
"BBOF1",0.295094974782997,-0.345200413242016,0.0501054384590184
"HSPG2",-0.28634397517203,-0.312593682033546,0.598937657205575
"APOH",-0.128715492987738,-0.404870648030534,0.533586141018272
"B2M",0.79395761737993,-0.238038218816178,-0.555919398563752
"ACTBL2",-0.132588929184501,0.501685440701336,-0.369096511516835
"CNDP1",0.218962548175059,0.147758990203107,-0.366721538378166
"BTD",0.311279843880777,0.331717830430659,-0.642997674311436
"C4BPA",-0.09266364731518,0.586915759844625,-0.494252112529445
"C4BPB",-0.0423927257877049,0.553876064285345,-0.511483338497641
"CDH20",-0.580271804993394,0.485983023677907,0.0942887813154875
"CDH5",-0.217747610605199,-0.196156044361425,0.413903654966624
"CDH7",-0.581477089188566,0.487943226178771,0.0935338630097957
"CALD1",0.420733027807493,0.0465160194536806,-0.467249047261173
"CALM3",-0.148712518847846,0.454210829842647,-0.305498310994801
"CALML5",-0.307879106510107,0.289047668270465,0.0188314382396421
"CALR",-0.211494753431107,0.424944834391049,-0.213450080959942
"CA1",0.49380241383359,-0.145924799893178,-0.347877613940413
"CA2",0.410446920290059,0.0048308519474764,-0.415277772237535
"CPB2",-0.284386199751108,0.761035977625574,-0.476649777874465
"CPN1",-0.0767362266722636,-0.0263860088130681,0.103122235485332
