"","x"
"YWHAB","yellow"
"YWHAG","yellow"
"YWHAZ","yellow"
"NT5C3B","turquoise"
"ACTC1","yellow"
"ACTA1","yellow"
"ACTA2","yellow"
"ACTB","yellow"
"ACTG2","yellow"
"CAP1","grey"
"ADIPOQ","grey"
"BST1","grey"
"AFF2","turquoise"
"AFM","turquoise"
"ALB","grey"
"ORM1","yellow"
"ORM2","brown"
"SERPINA3","turquoise"
"SERPINA1","brown"
"A1BG","blue"
"SERPINF2","turquoise"
"AHSG","blue"
"A2M","blue"
"ACTN1","yellow"
"AMY2B","blue"
"ANPEP","grey"
"ACE","brown"
"AGT","yellow"
"ANXA1","turquoise"
"SERPINC1","turquoise"
"APOA1","blue"
"APOA2","turquoise"
"APOA4","blue"
"APOB","turquoise"
"APOC1","blue"
"APOC2","yellow"
"APOC3","blue"
"APOD","blue"
"APOE","turquoise"
"APOF","blue"
"APOL1","brown"
"APOM","turquoise"
"LPA","grey"
"RECQL","grey"
"ATRN","brown"
"SLC4A1","brown"
"BBOF1","brown"
"HSPG2","grey"
"APOH","grey"
"B2M","brown"
"ACTBL2","yellow"
"CNDP1","turquoise"
"BTD","turquoise"
"C4BPA","turquoise"
"C4BPB","turquoise"
"CDH20","grey"
"CDH5","grey"
"CDH7","grey"
"CALD1","brown"
"CALM3","yellow"
"CALML5","turquoise"
"CALR","yellow"
"CA1","brown"
"CA2","brown"
"CPB2","turquoise"
"CPN1","grey"
"CPN2","turquoise"
"COMP","blue"
"CASP14","brown"
"ALCAM","turquoise"
"CD44","blue"
"CD5L","turquoise"
"CEP131","turquoise"
"CP","brown"
"BCHE","turquoise"
"CSHL1","blue"
"CLU","turquoise"
"F9","turquoise"
"F5","blue"
"F7","blue"
"F10","turquoise"
"F11","turquoise"
"F12","turquoise"
"F13A1","yellow"
"F13B","turquoise"
"CFL1","yellow"
"COL1A1","blue"
"C1QA","turquoise"
"C1QB","grey"
"C1QC","turquoise"
"C1R","turquoise"
"C1RL","turquoise"
"C1S","turquoise"
"C2","turquoise"
"C3","turquoise"
"C4A","turquoise"
"C4B","turquoise"
"C5","turquoise"
"C6","turquoise"
"C7","turquoise"
"C8A","turquoise"
"C8B","turquoise"
"C8G","turquoise"
"C9","turquoise"
"CFB","turquoise"
"CFH","turquoise"
"CFHR1","grey"
"CFHR2","brown"
"CFHR3","turquoise"
"CFHR5","grey"
"CFI","turquoise"
"SERPINA6","turquoise"
"CRP","brown"
"CRISP3","blue"
"DCD","brown"
"DSG1","grey"
"DKK3","blue"
"DPP4","grey"
"DBH","grey"
"DNAL4","blue"
"MSL2","blue"
"EFEMP1","blue"
"ENG","brown"
"PROCR","grey"
"SLC1A2","brown"
"ECM1","grey"
"FBF1","brown"
"FBXO30","grey"
"FTL","turquoise"
"FETUB","grey"
"FGA","turquoise"
"FGB","turquoise"
"FGG","turquoise"
"FGL1","turquoise"
"FN1","turquoise"
