"","kMEllow","kMEown","kMEue","kMErquoise","kMEey"
"YWHAB",0.906511693710521,-0.0116718243861522,0.286197366506051,-0.068510705331783,0.0195830983811879
"YWHAG",0.812290775229086,0.0365602580150804,0.522933331153073,0.00832796518782356,-0.0708067931576459
"YWHAZ",0.993542450042675,-0.0581626157704443,-0.111266897660264,-0.0510529576011226,-0.0345438469723182
"NT5C3B",-0.0713578331427491,-0.216502987145642,-0.236959985383382,0.392011756798278,0.736409129754438
"ACTC1",0.981406566688186,-0.108901382786811,-0.118211974029677,0.0271366021035704,-0.0372447975920672
"ACTA1",0.981442129771354,-0.109117261487172,-0.118491380025369,0.0273390311657672,-0.0369699309679709
"ACTA2",0.981452146951645,-0.109178812350217,-0.118571046542473,0.0273967568298081,-0.0368915392340354
"ACTB",0.987013071511584,-0.116685652894707,-0.0750173660161264,0.0343073608869512,-0.025727067270532
"ACTG2",0.981445833497799,-0.109139980245641,-0.118520785220931,0.0273603375297945,-0.0369409973082338
"CAP1",0.0399608716897505,-0.207712698631599,-0.560666590589177,0.189022611921838,-0.18740561645297
"ADIPOQ",-0.153301292552199,0.274913280478871,0.251638932210439,0.145563519982002,0.74327271636517
"BST1",-0.139298854832131,-0.0607114200522746,-0.0762806023791963,0.132022752024275,0.882843376246876
"AFF2",-0.0810580611788667,0.0415905457030564,0.0381779535396853,0.683334742112778,0.153219653154018
"AFM",-0.267703756975658,-0.184003771927964,0.260563850711465,0.798171978123279,0.46985687297414
"ALB",-0.524035242193417,-0.0712220257885566,-0.482282791198066,-0.469337451371937,-0.240118068427899
"ORM1",0.637351248915943,0.402265690268337,-0.255104893795196,-0.0647137675412478,0.186523502373026
"ORM2",0.394619094904832,0.5253284271837,0.143782681624209,-0.203646338489915,0.0332014421162611
"SERPINA3",0.295330682569907,0.2881837157359,0.00660021537359347,0.623447333314754,0.00609966159177435
"SERPINA1",0.260767849498954,0.691553000038507,-0.0673725022136183,-0.208893502596765,0.159301567631056
"A1BG",0.234980163255836,-0.13161861324834,0.586275188875536,0.451208634225721,0.407676535611156
"SERPINF2",0.315063130275984,0.0587480595767617,0.257346556063285,0.384168101721015,-0.0189699030643687
"AHSG",0.191872898711071,-0.326390814972341,0.656777796751513,0.265534919607349,0.34702608755368
"A2M",-0.200747168060264,-0.18138040683985,0.663755841867225,0.484367923364601,0.0667698897962602
"ACTN1",0.987627280110457,-0.0531577419291725,0.0179192213842173,0.0345143821659558,-0.055107092285562
"AMY2B",0.320516531816083,0.0425106874836069,0.796612944792271,-0.0249197722939009,9.36673213167609e-05
"ANPEP",0.107752982297623,-0.312599604550838,0.164221825798355,0.149156965547869,0.870980583547288
"ACE",0.571029958201264,0.589770049853931,0.532552150230177,-0.155581114365268,0.0847426327893616
"AGT",0.733752722456974,0.214420134464002,-0.250486883396729,0.183630505637381,-0.0848043174762529
"ANXA1",0.138183319003138,-0.0823693044506098,0.192152600208902,0.34424885293902,-0.189912605037834
"SERPINC1",-0.168231968464876,-0.295881464256988,0.38263476771825,0.903226827490593,0.122196959435599
