"yellow","brown","blue","turquoise","grey"
"YWHAB","ORM2","A1BG","NT5C3B","CAP1"
"YWHAG","SERPINA1","AHSG","AFF2","ADIPOQ"
"YWHAZ","ACE","A2M","AFM","BST1"
"ACTC1","APOL1","AMY2B","SERPINA3","ALB"
"ACTA1","ATRN","APOA1","SERPINF2","ANPEP"
"ACTA2","SLC4A1","APOA4","ANXA1","LPA"
"ACTB","BBOF1","APOC1","SERPINC1","RECQL"
"ACTG2","B2M","APOC3","APOA2","HSPG2"
"ORM1","CALD1","APOD","APOB","APOH"
"ACTN1","CA1","APOF","APOE","CDH20"
"AGT","CA2","COMP","APOM","CDH5"
"APOC2","CASP14","CD44","CNDP1","CDH7"
"ACTBL2","CP","CSHL1","BTD","CPN1"
"CALM3","CFHR2","F5","C4BPA","C1QB"
"CALR","CRP","F7","C4BPB","CFHR1"
"F13A1","DCD","COL1A1","CALML5","CFHR5"
"CFL1","ENG","CRISP3","CPB2","DSG1"
"FLNA","SLC1A2","DKK3","CPN2","DPP4"
"CCNE1","FBF1","DNAL4","ALCAM","DBH"
"HP","FCN2","MSL2","CD5L","PROCR"
"IGHV1-3","FLG","EFEMP1","CEP131","ECM1"
"IGKV2D-29","HBG1","LGALS3BP","BCHE","FBXO30"
"IGLV10-54","FCGBP","HBB","CLU","FETUB"
"KRT14","IGHD","HBD","F9","GOLM1"
"KRT19","IGHV3-11","HGFAC","F10","HPR"
"AJUBA","IGHV3-15","HLA-A","F11","HBA2"
"FCGR3A","IGKV1D-33","IGHV3-72","F12","HRNR"
"MYH13","IGKV2D-28","JCHAIN","F13B","HMMR"
"MTPN","IGKV2D-40","IGLL1","C1QA","IGLL5"
"POTEE","ITIH3","ICAM1","C1QC","INCENP"
"POTEF","IL1RAP","ICAM2","C1R","KRT9"
"POTEI","KRT10","LMNB1","C1RL","KRT1"
"POTEJ","KRT16","LUM","C1S","KRT77"
"PFN1","KRT17","CD58","C2","KRT2"
"P4HB","KRT24","LAMP1","C3","KRT4"
"ERN1","KRT25","LAMP2","C4A","KRT6B"
"TLN1","KRT26","CD14","C4B","KRT75"
"TAGLN2","KRT27","MMRN2","C5","KIF1B"
"TPI1","KRT28","NCAM1","C6","SELL"
"TPM4","KRT5","AMY2A","C7","MASP2"
"VASN","KRT6A","VNN1","C8A","DGCR8"
"VCL","LRG1","PI16","C8B","CHL1"
"","LCN1","POSTN","C8G","DEFA1B"
"","MASP1","PRDX2","C9","DEFA3"
"","NFKB1","LCAT","CFB","PIP5K1A"
"","LCP1","GPLD1","CFH","PIP5K1B"
"","PPBP","GP1BA","CFHR3","PIP5K1C"
"","GPR27","PZP","CFI","SERPING1"
"","CRAMP1","IGHV3-16","SERPINA6","PF4"
"","S100A4","AKT1","FTL","PVR"
"","S100A6","AKT2","FGA","PIGR"
"","SAA1","AKT3","FGB","FAP"
"","APCS","CD163","FGG","CFP"
"","SLC24A2","SRGN","FGL1","FAM81B"
"","SOD1","TF","FN1","S100A9"
"","TEX28","SHBG","FBLN1","SAA4"
"","TMEM198","TNXB","FCN3","PON3"
"","PEPD","THBS1","FLG2","SLC2A2"
"","","THRA","FLOT1","VCAM1"
"","","SERPINA7","FMN2","ZMAT4"
"","","TMC8","GSN","AZGP1"
"","","GART","GPX3",""
"","","TRIM46","GAPDH",""
"","","ZSWIM9","GZMH",""
"","","GC","HPX",""
"","","ZMYM6","SERPIND1",""
"","","","MST1",""
"","","","HRG",""
"","","","HABP2",""
"","","","LOC102723407",""
"","","","IGFALS",""
"","","","ITIH1",""
"","","","ITIH2",""
"","","","ITIH4",""
"","","","INVS",""
"","","","SERPINA4",""
"","","","KRT31",""
"","","","KNG1",""
"","","","SERPINB1",""
"","","","LSAMP",""
"","","","LBP",""
"","","","FCGR3B",""
"","","","MBL2",""
"","","","DDAH1",""
"","","","PGLYRP2",""
"","","","PPIA",""
"","","","PLTP",""
"","","","SERPINF1",""
"","","","KLKB1",""
"","","","PLG",""
"","","","PLGLB1",""
"","","","PLS3",""
"","","","KCNRG",""
"","","","AMBP",""
"","","","S100A8",""
"","","","SERPINA10",""
"","","","PRG4",""
"","","","F2",""
"","","","PKM",""
"","","","RBP4",""
"","","","SPP2",""
"","","","SELENOP",""
"","","","SEMA6D",""
"","","","PON1",""
"","","","SPATS2L",""
"","","","CLEC3B",""
"","","","TGFBI",""
"","","","TTR",""
"","","","PROC",""
"","","","PROS1",""
"","","","PROZ",""
"","","","VTN",""
