"Ctrl_hub","subtype.x_hub","subtype.y_hub"
"SLC4A1","YWHAB","BST1"
"BBOF1","YWHAG","HSPG2"
"CA1","YWHAZ","KRT2"
"CASP14","ACTC1","KRT4"
"CD44","ACTA1","KRT6B"
"F7","ACTA2","KRT75"
"CRP","ACTB","DEFA1B"
"DCD","ACTG2","DEFA3"
"DNAL4","ACTN1","PIP5K1A"
"EFEMP1","SERPINC1","PIP5K1B"
"HBD","APOB","PIP5K1C"
"HLA-A","APOE",""
"FCGBP","ACTBL2",""
"IGHD","C4BPA",""
"ICAM1","C4BPB",""
"LCN1","CALM3",""
"LUM","CALR",""
"CD58","CPB2",""
"NCAM1","CPN2",""
"PI16","F9",""
"LCAT","F10",""
"GPLD1","F11",""
"GP1BA","F12",""
"CRAMP1","CFL1",""
"S100A4","C1QA",""
"SAA1","C1QC",""
"SHBG","C1S",""
"TNXB","C4B",""
"TEX28","C5",""
"TMC8","C6",""
"PEPD","C8A",""
"","C8B",""
"","C8G",""
"","CFH",""
"","CFI",""
"","FGA",""
"","FGB",""
"","FGG",""
"","FN1",""
"","GZMH",""
"","HPX",""
"","IGLV10-54",""
"","IGFALS",""
"","ITIH1",""
"","ITIH2",""
"","SERPINA4",""
"","KRT19",""
"","KRT77",""
"","LSAMP",""
"","PGLYRP2",""
"","SERPINF1",""
"","KLKB1",""
"","PLG",""
"","POTEE",""
"","POTEF",""
"","POTEI",""
"","POTEJ",""
"","PFN1",""
"","SERPINA10",""
"","PRG4",""
"","F2",""
"","SEMA6D",""
"","TLN1",""
"","TAGLN2",""
"","TPI1",""
"","TPM4",""
"","VASN",""
"","VCL",""
"","PROS1",""
